Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3,trial_pres_num,fixa1_onset,fixa1_durat,clue_onset,clue_durat,task_onset,task_durat,word1_onset,word2_onset,word3_onset,word4_onset,word5_onset,word6_onset,word7_onset,word8_onset,word9_onset,word10_onset,word11_onset,word12_onset,word13_onset,word14_onset,word15_onset,word_time,fixa2_onset,fixa2_durat,question1_onset,question1_offset,rating1,rating1_RT,question2_onset,question2_offset,rating2,rating2_RT,question3_onset,question3_offset,rating3,rating3_RT,ori_press_word,press_word,press_word_offset,RT,correct,KeyPress
1,2,2,,pure reading ,formal trial,reading,+,xxxxx,Emotions,are,thought,to result,from,evolution,because,they,provided,good,solutions to,the problems,that our,ancestors,faced.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,1,0.04693609999958426,2.15,2.1925587999867275,2,4.192607100005262,1,5.193796999985352,5.798379200045019,6.395096600055695,6.992329000029713,7.595321999979205,8.192577400011942,8.797143999952823,9.395862399949692,9.991880399989896,10.598548999987543,11.1940300000133,11.796591900056228,12.394787500030361,12.991763500031084,13.596310000051744,0.6,14.19354879995808,2.93,17.11860779998824,21.159389000036754,4,4.039,21.160122100031003,25.188110499992035,4,4.027,25.188816500012763,29.221129199955612,4,4.031,,,,,,
1,49,49,25,conflict recall,formal trial,memory recall,+,hug,For,home,"storage,",apples,can be,held for,approximately,two,weeks,when,kept in,the coolest,part of,the,refrigerator.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,2,29.269347100052983,3.0,32.27171650005039,2,34.270107300020754,1,35.269570200005546,35.86804900004063,36.4643390000565,37.06962199998088,37.66582909994759,38.27211579994764,38.86912389995996,39.4658973000478,40.06951649999246,40.666832600021735,41.26975139998831,41.86799259996042,42.464440700015984,43.06974469998386,43.66710920003243,0.6,44.271104000043124,1.58,45.84101810003631,49.86051390005741,4,4.017,49.86119940003846,53.89541979995556,4,4.033,53.8962157999631,57.924052000045776,4,4.027,,,,,,
1,74,,50,pure recall,formal trial,memory recall,+,street,xxxxxxxx,xxx,xxxxxxx,xx xxxxxx,xxxx,xxxxxxxxx,xxxxxxx,xxxx,xxxxxxxx,xxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxx xxx,xxxxxxxxx,xxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,3,57.95773000002373,1.95,59.90366329997778,2,61.90335210005287,1,62.9024620000273,63.506256800028495,64.10377499996684,64.70805070002098,65.30705740000121,65.90321010001935,66.50816249998752,67.10364530002698,67.7080483000027,68.30624980002176,68.90264390001539,69.50778800004628,70.10370089998469,70.70914930000436,71.30644640000537,0.6,71.90295839996543,1.77,73.66940220003016,77.70141840004362,4,4.031,77.70214629999828,81.7291706999531,4,4.026,81.72982080001384,85.76399670005776,4,4.033,,,,,,
1,22,22,,pure reading ,catch trial,reading,+,xxxx,In many,"countries,",driving,a truck,requires,a special,driving,"license, the",requirements,and,limitations,vary,with,each,jurisdiction.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,4,85.79939069994725,1.15,86.94582440005615,2,88.94463459996041,1,89.94462820002809,90.5487227999838,91.14607999997679,91.75090730004013,92.34727320005186,92.94521739997435,93.54985419998411,94.146848400007,94.74338889995124,95.34747359994799,95.94600919994991,96.55002870003227,97.14714010001626,97.74335700005759,98.3486362999538,0.6,98.94461709994357,1.13,100.07106170000043,104.09210769995116,4,4.019,104.09287329996005,108.1253397000255,4,4.032,108.12609499995597,112.14654380001593,4,4.02,jurisdiction.,,,,,
1,100,,,letter string,formal trial,xxxxxxxx,+,xxxxx,xxxxxxx,xxx,xxxx xx,x xxxxx,xxxxxx xx,xxxxxx,xxx,xxxxxxxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxxxxxxxxx,xxxx xx,xxxxxxx,xxx,xxxxxxxx,,,,5,112.16729689994827,2.62,114.78635329997633,2,116.78537369996775,1,117.78546919999644,118.38452049996704,118.98687240004074,119.58430680003949,120.18128959997557,120.78631340002175,121.3838689000113,121.98696340003517,122.58538740000222,123.18284000002313,123.7869878000347,124.38282539998181,124.98701489996165,125.58422530000098,126.18190039996989,0.6,,,,,,,,,,,,,,,,,,,,
1,26,26,1,conflict reading,formal trial,reading,+,door,Brain,tissue,consumes,a large,amount of,energy in,proportion to,"its volume,",so large,brains,place,severe,metabolic,demands on,animals.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,6,126.2797230000142,1.67,127.94545180001296,2,129.94643480004743,1,130.94582859997172,131.5496663999511,132.14656210003886,132.7449477999471,133.34847079997417,133.94659409997985,134.55019920004997,135.14819600002375,135.74505559995305,136.34919189999346,136.94523389998358,137.55066449998412,138.14669660001528,138.74501830001827,139.3480953000253,0.6,139.94534990005195,1.22,141.1613930000458,145.18878049997147,4,4.026,145.18945529998746,149.20966829999816,4,4.019,149.21035099995788,153.23199050000403,4,4.021,,,,,,
1,94,,70,pure recall,catch trial,memory recall,+,basket,xx xxxx,xxxxxxxxx,xxxxxxx,x xxxxx,xxxxxxxx,x xxxxxxx,xxxxxxx,xxxxxxx xxx,xxxxxxxxxxxx,xxx,xxxxxxxxxxx,xxxx,xxxx,xxxx,xxxxxxxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,7,153.26734539994504,1.77,155.03646259999368,2,157.03647449996788,1,158.03624080005102,158.63458329997957,159.23870730004273,159.83691610000096,160.43326790002175,161.03631700004917,161.63493669999298,162.23789929994382,162.83487839996815,163.4322316000471,164.03632579999976,164.63356860005297,165.23875400004908,165.83645659999456,166.4329988999525,0.6,167.03734729997814,2.18,169.20901560003404,173.23082589998376,4,4.021,173.2315413999604,177.251832799986,4,4.019,177.25253129994962,181.27428849996068,4,4.021,xxxxxxxxxxxx,,,,,
1,73,,49,pure recall,formal trial,memory recall,+,relative,xxxxxxx,xxx xxxx,xxxx xxx,xxxxxxxxxxxxx,xx,xxxxxxx,xxxxxxxxxxxx,xxxxxx,xxxxx,xxx xxx,xxx xxxx,xxxxxxxx,xx xxx,xxxxxxxx,xxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,8,181.30856200004928,1.44,182.74632080004085,2,184.7459675000282,1,185.74494150001556,186.34319719998166,186.94713720004074,187.5448074999731,188.14805880002677,188.7459151999792,189.3429991999874,189.9465302999597,190.54403670004103,191.14914160000626,191.74611349997576,192.34266299998853,192.9478295999579,193.54498949996196,194.1479330000002,0.6,194.74583330005407,1.78,196.5202340000542,200.54520379996393,4,4.024,200.54607769998256,204.58763730002102,4,4.041,204.58836239995435,208.60663179995026,4,4.018,,,,,,
1,46,46,22,conflict reading,catch trial,reading,+,popcorn,Professors,often,conduct,original,research,and may,mentor and,supervise,graduate,students,conducting,research for,a thesis,or,dissertation.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,9,208.64197460003197,2.55,211.1903891999973,2,213.191036800039,1,214.19123430002946,214.78704840003047,215.39343299996108,215.98863299994264,216.58614949998446,217.1911431000335,217.78854370000772,218.39278310001828,218.98989239998627,219.58728139998857,220.19049039995298,220.78798779996578,221.39173999999184,221.98903689999133,222.5859129000455,0.6,223.1901531999465,1.03,224.2136443000054,228.23925650003366,4,4.025,228.2399494999554,232.26792550005484,4,4.027,232.26865720003843,236.3017996000126,4,4.032,mentor and,,,,,
1,98,,,letter string,formal trial,xxxxxxxx,+,xxxxx,xxxxx,xxxxxx,xxxxxxxx,x xxxxx,xxxxxx xx,xxxxxx xx,xxxxxxxxxx xx,xxx xxxxxx,xx xxxxx,xxxxxx,xxxxx,xxxxxx,xxxxxxxxx,xxxxxxx xx,xxxxxxx,,,,10,236.32275219995063,1.64,237.9627033000579,2,239.9623718999792,1,240.96154299995396,241.55958889995236,242.16280319995712,242.76022739999462,243.35823420004454,243.96149679995142,244.55902100005187,245.16291309997905,245.76035180001054,246.3600103999488,246.9627816999564,247.55997549998574,248.16339440003503,248.7620868999511,249.35870630003046,0.6,,,,,,,,,,,,,,,,,,,,
1,27,27,3,conflict reading,formal trial,reading,+,gift,Horses,can,perform a,number of,mental,challenges,that include,food,procurement,and,identification,of individuals,within,a social,system.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,11,249.56008259998634,1.61,251.17146169999614,2,253.17205549997743,1,254.16986869997345,254.767543700058,255.3643541999627,255.9690007000463,256.5660429999698,257.1714165000012,257.76749440003186,258.36478659999557,258.96973849995993,259.5669043000089,260.1702614000533,260.7681196000194,261.3657885999419,261.96865960001014,262.5663142000558,0.6,263.17041539994534,1.13,264.2917535000015,268.3160391000565,4,4.023,268.3167805999983,272.3302610999672,4,4.013,272.3309002999449,276.36513569997624,4,4.033,,,,,,
1,53,53,28,conflict recall,formal trial,memory recall,+,ticket,Many,lakes are,artificial,and,constructed for,industrial or,agricultural,"use,",such as,electric,power,generation,or domestic,water,supply.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,12,276.4019746000413,2.63,279.0329872999573,2,281.0331730999751,1,282.032922900049,282.6299000000581,283.22732509998605,283.8302546000341,284.4277817000402,285.03427099995315,285.62916490004864,286.2261621999787,286.8317297999747,287.4278710000217,288.0329735999694,288.63002539996523,289.22789740003645,289.83024409995414,290.4279231999535,0.6,291.0332969999872,1.42,292.4436447999906,296.4766746000387,4,4.032,296.47748240001965,300.51151530002244,4,4.033,300.51249590003863,304.54600119998213,4,4.032,,,,,,
1,50,50,26,conflict recall,formal trial,memory recall,+,coffee,A halved,lemon,dipped in,salt or,baking,powder,is,used to,brighten,copper,"cookware,",as,the acid,dissolves,the tarnish.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,13,304.5809739000397,1.75,306.33109039999545,2,308.3324248000281,1,309.33148519997485,309.92917899996974,310.5270377000561,311.1300085999537,311.72661180002615,312.33112119999714,312.92946250003297,313.5256118000252,314.12975580000784,314.72676909994334,315.332188499975,315.92968239996117,316.5270980000496,317.13174700003583,317.7267666000407,0.6,318.3311876000371,2.02,320.34264609997626,324.35980119998567,4,4.016,324.36042269994505,328.38788439997006,4,4.027,328.3885893999832,332.4287510999711,4,4.039,,,,,,
