Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3,trial_pres_num,fixa1_onset,fixa1_durat,clue_onset,clue_durat,task_onset,task_durat,word1_onset,word2_onset,word3_onset,word4_onset,word5_onset,word6_onset,word7_onset,word8_onset,word9_onset,word10_onset,word11_onset,word12_onset,word13_onset,word14_onset,word15_onset,word_time,fixa2_onset,fixa2_durat,question1_onset,question1_offset,rating1,rating1_RT,question2_onset,question2_offset,rating2,rating2_RT,question3_onset,question3_offset,rating3,rating3_RT,ori_press_word,press_word,press_word_offset,RT,correct,KeyPress
1,2,2,,pure reading ,formal trial,reading,+,xxxxx,Emotions,are,thought,to result,from,evolution,because,they,provided,good,solutions to,the problems,that our,ancestors,faced.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,1,0.05608879984356463,2.15,2.205897299805656,2,4.2059346998576075,1,5.20886219991371,5.805446799844503,6.400743099860847,7.00552919995971,7.602778699947521,8.207070200005546,8.803181499941275,9.400743899866939,10.004675199976191,10.601986199850217,11.208219399908558,11.803365899948403,12.400658999802545,13.005816899938509,13.603160999948159,0.6,14.207064599962905,2.93,17.127760799834505,21.165014899801463,4,4.036,21.165824399795383,25.19955789996311,4,4.032,25.200197799829766,29.220504299970344,4,4.019,,,,,,
1,49,49,25,conflict recall,formal trial,memory recall,+,hug,For,home,"storage,",apples,can be,held for,approximately,two,weeks,when,kept in,the coolest,part of,the,refrigerator.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,2,29.270561899989843,3.0,32.26958859991282,2,34.270293599925935,1,35.271655599819496,35.86641709995456,36.472423599800095,37.06833749986254,37.666559299919754,38.26959369983524,38.868108899798244,39.473651099950075,40.07065059989691,40.67224959982559,41.2728269000072,41.8701080000028,42.47312149987556,43.07025989983231,43.666876799892634,0.6,44.271967199863866,1.58,45.8422322999686,49.86873929994181,4,4.025,49.869624599814415,53.90563669987023,4,4.034,53.906494199996814,57.94538829987869,4,4.037,,,,,,
1,74,,50,pure recall,formal trial,memory recall,+,street,xxxxxxxx,xxx,xxxxxxx,xx xxxxxx,xxxx,xxxxxxxxx,xxxxxxx,xxxx,xxxxxxxx,xxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxx xxx,xxxxxxxxx,xxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,3,57.98789509991184,1.95,59.937898699892685,2,61.93910570000298,1,62.93786899978295,63.533481899881735,64.14043799997307,64.73620929988101,65.33374589984305,65.93810869986191,66.5338984997943,67.13839869992808,67.73549769981764,68.33674429985695,68.94118379987776,69.53712719981559,70.14175969990902,70.73883009981364,71.33308479981497,0.6,71.93813139991835,1.77,73.69956889981404,77.73924429994076,4,4.037,77.74007479986176,81.77034519985318,4,4.029,81.77113989996724,85.79946409980766,4,4.027,,,,,,
1,22,22,,pure reading ,catch trial,reading,+,xxxx,In many,"countries,",driving,a truck,requires,a special,driving,"license, the",requirements,and,limitations,vary,with,each,jurisdiction.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,4,85.84135010000318,1.15,86.98586299992166,2,88.98583959997632,1,89.98589299991727,90.58975039981306,91.18961229990236,91.79144649999216,92.38936279993504,92.98833299987018,93.5899594000075,94.19121129997075,94.79226249991916,95.39266029978171,95.98833789979108,96.59272919991054,97.18940439983271,97.79449819982983,98.3909353998024,0.6,98.98867649980821,1.13,100.11302209994756,104.14021219988354,4,4.026,104.14109679986723,108.1710312999785,4,4.028,108.17185929999687,112.20130939991213,4,4.028,and,,,,,
1,100,,,letter string,formal trial,xxxxxxxx,+,xxxxx,xxxxxxx,xxx,xxxx xx,x xxxxx,xxxxxx xx,xxxxxx,xxx,xxxxxxxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxxxxxxxxx,xxxx xx,xxxxxxx,xxx,xxxxxxxx,,,,5,112.224153699819,2.62,114.84173069987446,2,116.84296179981902,1,117.84198859985918,118.44580259989016,119.0425502997823,119.64008719986305,120.24309049989097,120.84194589988329,121.43849529977888,122.04280119994655,122.64148399978876,123.24345740000717,123.84161509992555,124.43793309992179,125.04221869981848,125.6405941999983,126.2443617999088,0.6,,,,,,,,,,,,,,,,,,,,
1,26,26,1,conflict reading,formal trial,reading,+,door,Brain,tissue,consumes,a large,amount of,energy in,proportion to,"its volume,",so large,brains,place,severe,metabolic,demands on,animals.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,6,126.27905839984305,1.67,127.94481039978564,2,129.94734739977866,1,130.94697980000637,131.54934819997288,132.1479929999914,132.74858329980634,133.45604019984603,133.94528749980964,134.54996360000223,135.1497387997806,135.74433569982648,136.34877409995534,136.94596849987283,137.5492880998645,138.14653639984317,138.74517739983276,139.3485195999965,0.6,139.94511489989236,1.22,141.16073789983056,145.18903299979866,4,4.026,145.1897989998106,149.22995039983653,4,4.039,149.23072469979525,153.25790589977987,4,4.026,,,,,,
1,94,,70,pure recall,catch trial,memory recall,+,basket,xx xxxx,xxxxxxxxx,xxxxxxx,x xxxxx,xxxxxxxx,x xxxxxxx,xxxxxxx,xxxxxxx xxx,xxxxxxxxxxxx,xxx,xxxxxxxxxxx,xxxx,xxxx,xxxx,xxxxxxxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,7,153.29255309980363,1.77,155.05885689985007,2,157.18264929996803,1,158.0670417000074,158.6629801997915,159.25954349990934,159.8571643999312,160.46166409994476,161.05882019991986,161.6639101000037,162.2630425998941,162.85746499989182,163.4632711999584,164.05921419989318,164.66344779985957,165.26271159993485,165.85792639991269,166.46215919987299,0.6,167.05998379993252,2.18,169.23422369989567,173.27426239987835,4,4.038,173.27514749998227,177.31759849982336,4,4.041,177.31856619985774,181.3448435999453,4,4.025,xxxxxxxxxxx,,,,,
1,73,,49,pure recall,formal trial,memory recall,+,relative,xxxxxxx,xxx xxxx,xxxx xxx,xxxxxxxxxxxxx,xx,xxxxxxx,xxxxxxxxxxxx,xxxxxx,xxxxx,xxx xxx,xxx xxxx,xxxxxxxx,xx xxx,xxxxxxxx,xxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,8,181.38638129993342,1.44,182.82299399981275,2,184.82348039979115,1,185.8248794998508,186.42308699991554,187.0259380999487,187.6220949999988,188.22591689997353,188.82304579997435,189.4211116998922,190.02761200000532,190.62444169982336,191.2259158999659,191.8246239,192.42143399990164,193.02508749999106,193.62260679993778,194.22814609995112,0.6,194.82447679992765,1.78,196.59805319993757,200.63698859978467,4,4.038,200.63790489989333,204.66493269987404,4,4.026,204.6658835997805,208.70544639998116,4,4.038,,,,,,
1,46,46,22,conflict reading,catch trial,reading,+,popcorn,Professors,often,conduct,original,research,and may,mentor and,supervise,graduate,students,conducting,research for,a thesis,or,dissertation.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,9,208.74018500000238,2.55,211.28895499999635,2,213.29074309999123,1,214.2902346998453,214.88865999993868,215.49171619978733,216.08842259994708,216.6851555998437,217.28982710000128,217.88623929978348,218.49045509984717,219.0875126000028,219.68482799991034,220.28962119994685,220.88701529987156,221.4839323000051,222.0888009998016,222.6865959998686,0.6,223.29140819981694,1.03,224.31185559998266,228.35263059986755,4,4.039,228.35361230000854,232.37999059981667,4,4.025,232.3808908998035,236.41427929978818,4,4.032,original,,,,,
